Month,Year,Amount,Description,Category,Classify,Expense Type
01,2025,0.0,Tổng hợp,3. Chi phí quản lý doanh nghiệp,Hành chính,Biến phí
01,2025,16648334.0,Mua đồ hành chính,3. Chi phí quản lý doanh nghiệp,Hành chính,Biến phí
01,2025,22841000.0,Tiền thuê xe+phí về xe,3. Chi phí quản lý doanh nghiệp,"Thuê xe, bãi xe",Định phí
01,2025,5110000.0,bãi xe cty+bãi xe nv,3. Chi phí quản lý doanh nghiệp,Hành chính,Biến phí
01,2025,18494808.0,điện+nước+wf,3. Chi phí quản lý doanh nghiệp,"Điện, nước, wifi",Biến phí
01,2025,12026667.0,Cp tiếp khách,6. Chi phí khác,Tiếp khách phòng khám,Biến phí
01,2025,44291333.0,tặng phẩm khách,2. Chi phí bán hàng,Tặng phẩm khách,Biến phí
01,2025,130000000.0,MKT chạy quảng cáo,2. Chi phí bán hàng,Marketing chạy quảng cáo,Biến phí
01,2025,4850000.0,"Cp sửa chữa, bảo trì",3. Chi phí quản lý doanh nghiệp,Bảo trì - sửa chữa - khử khuẩn,Biến phí
01,2025,0.0,Cộng tác viên,2. Chi phí bán hàng,Agency hoặc freelancer,Biến phí
01,2025,10533123.0,Thưởng gián tiếp,2. Chi phí bán hàng,Thưởng gián tiếp,Biến phí
01,2025,0.0,Đi trường,2. Chi phí bán hàng,Đi trường,Biến phí
01,2025,16866667.0,Hành chính MKT,2. Chi phí bán hàng,Hành chính MKT,Biến phí
01,2025,3806000.0,Hoa hòng gth,2. Chi phí bán hàng,Chi phí referral/Hoa hồng giới thiệu,Biến phí
01,2025,22500000.0,TikTok,2. Chi phí bán hàng,Chi phí quảng cáo Meta/Google/Tiktok,Biến phí
01,2025,0.0,SEO,2. Chi phí bán hàng,Chi phí quảng cáo Meta/Google/Tiktok,Biến phí
01,2025,224938188.0,% của NV,4. Chi phí nhân sự,Thưởng KPI,Biến phí
01,2025,2659493.0,Phí cà thẻ,6. Chi phí khác,Phí cà thẻ,Biến phí
01,2025,11313500.0,"Tiếp khách pK(grab, chi phí khác)",6. Chi phí khác,Tiếp khách phòng khám,Biến phí
01,2025,438573024.0,Lương,4. Chi phí nhân sự,Lương cố định bộ phận văn phòng,Định phí
01,2025,128678500.0,Chi phí MB,3. Chi phí quản lý doanh nghiệp,Thuê mặt bằng,Định phí
01,2025,27979000.0,Bảo hiểm,4. Chi phí nhân sự,Bảo hiểm,Định phí
01,2025,18000000.0,Thuê bằng bs+bằng y tá,3. Chi phí quản lý doanh nghiệp,Thuê bằng bác sĩ,Định phí
01,2025,15883333.0,"chi phí cho quận, phường",3. Chi phí quản lý doanh nghiệp,Hành chính,Biến phí
01,2025,2000000.0,thuế,3. Chi phí quản lý doanh nghiệp,Hành chính,Biến phí
01,2025,8100000.0,Tiền hàm tạm TGIP,1. Giá vốn hàng bán,Vật liệu implant,Biến phí
01,2025,983333.0,composite,1. Giá vốn hàng bán,Vật liệu implant,Biến phí
01,2025,440000.0,Giấy phòng điều trị,1. Giá vốn hàng bán,Vật liệu implant,Biến phí
01,2025,1273000.0,Thuốc + nước muối,1. Giá vốn hàng bán,Vật liệu implant,Biến phí
01,2025,895000.0,tiền thuốc tê xanh,1. Giá vốn hàng bán,Vật liệu implant,Biến phí
