THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2024.01,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.01,lương cứng tháng 1,Lương,319.716.510,Định phí,Chi phí QLDN
2024.01,lương KPI tháng 1,KPI,139.238.306,Biến phí,Chi phí bán hàng
2024.01,Chè,Mua đồ hành chính,206.667,Biến phí,Chi phí hành chính
2024.01,Hoa trái cây,Mua đồ hành chính,673.333,Biến phí,Chi phí hành chính
2024.01,ồ cúng,Mua đồ hành chính,687.333,Biến phí,Chi phí hành chính
2024.01,Nước suối,Mua đồ hành chính,3.760.000,Biến phí,Chi phí hành chính
2024.01,Nước bình,Mua đồ hành chính,618.001,Biến phí,Chi phí hành chính
2024.01,Kho tạp vụ,Mua đồ hành chính,4.106.000,Biến phí,Chi phí hành chính
2024.01,Bánh keọ,Mua đồ hành chính,358.667,Biến phí,Chi phí hành chính
2024.01,ồ ăn khách,Mua đồ hành chính,702.500,Biến phí,Chi phí hành chính
2024.01,Sữa,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.01,VPP,Mua đồ hành chính,14.601.783,Biến phí,Chi phí hành chính
2024.01,"CP sửa chữa
 bảo trì",Mua đồ hành chính,2.880.000,Biến phí,Chi phí hành chính
2024.01,Giấy vệ sinh,Mua đồ hành chính,1.901.667,Biến phí,Chi phí hành chính
2024.01,đồng phục,Mua đồ hành chính,2.460.000,Biến phí,Chi phí hành chính
2024.01,Phí HH,Marketing chạy Quảng cáo,5.786.000,Biến phí,Chi phí bán hàng
2024.01,"Phí xmn, tiền mê
 các khoản liên quan",Marketing chạy Quảng cáo,8.523.000,Biến phí,Chi phí bán hàng
2024.01,Phí trả góp,Marketing chạy Quảng cáo,0,Biến phí,Chi phí bán hàng
2024.01,Thưởng nóng nv,Marketing chạy Quảng cáo,2.250.000,Biến phí,Chi phí bán hàng
2024.01,Chi phí ào tạo,Đào tạo,20.000.000,Chi phí khác,Chi phí khác
2024.01,Tặng phẩm khách,Marketing chạy Quảng cáo,16.211.333,Biến phí,Chi phí bán hàng
2024.01,Thuê xe cty,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.01,Xăng xe a ức,Mua đồ hành chính,4.065.000,Biến phí,Chi phí hành chính
2024.01,Xăng xe c Oanh,Mua đồ hành chính,4.475.000,Biến phí,Chi phí hành chính
2024.01,Grab,Mua đồ hành chính,5.427.500,Biến phí,Chi phí hành chính
2024.01,Ăn nhậu ối tác,Mua đồ hành chính,6.464.666,Biến phí,Chi phí hành chính
2024.01,Mua quà tặng,Mua đồ hành chính,29.688.665,Biến phí,Chi phí hành chính
2024.01,Tiền tiktok/SEO,Marketing chạy Quảng cáo,29.850.000,Biến phí,Chi phí bán hàng
2024.01,Tiền hosting/ gia hạn,Marketing chạy Quảng cáo,0,Biến phí,Chi phí bán hàng
2024.01,mua sp theo chiến dịch,Marketing chạy Quảng cáo,4.266.667,Biến phí,Chi phí bán hàng
2024.01,MKT,Marketing chạy Quảng cáo,296.000.000,Biến phí,Chi phí bán hàng
2024.01,Số 5 kỳ ồng,Chi phí Mặt bằng,91.575.000,Định phí,Chi phí QLDN
2024.01,tiền xe nv t1,Chi phí Mặt bằng,2.333.333,Định phí,Chi phí QLDN
2024.01,thuê vp,Chi phí Mặt bằng,8.097.333,Định phí,Chi phí QLDN
2024.01,iện kỳ ồng,Điện + Nước,14.611.667,Định phí,Chi phí hành chính
2024.01,Nước kỳ ồng t11,Điện + Nước,0,Định phí,Chi phí hành chính
2024.01,2 xe cty,Chi phí Mặt bằng,20.500.000,Định phí,Chi phí QLDN
2024.01,bãi xe+rửa xe cty,Chi phí Mặt bằng,2.250.000,Định phí,Chi phí QLDN
2024.01,BH NV,Bảo hiểm,10.252.800,Định phí,Chi phí QLDN
2024.01,wf,Mua đồ hành chính,816.667,Biến phí,Chi phí hành chính
2024.01,Giấy phép,Mua đồ hành chính,50.000.000,Biến phí,Chi phí hành chính
2024.01,thuê bằng bs,Thuê bằng,15.000.000,Định phí,Chi phí QLDN
2024.01,kin,Tiền vật liệu,4.595.000,Biến phí,Chi phí giá vốn
2024.01,xương zimmer,Tiền vật liệu,27.610.000,Biến phí,Chi phí giá vốn
2024.01,tay khoan,Tiền vật liệu,17.000.000,Biến phí,Chi phí giá vốn
2024.01,mũi cvr,Tiền vật liệu,2.380.000,Biến phí,Chi phí giá vốn
2024.01,dụng cụ tt,Tiền vật liệu,6.616.000,Biến phí,Chi phí giá vốn
2024.01,20 cylinder,Tiền vật liệu,14.000.000,Biến phí,Chi phí giá vốn
2024.01,ồ tt,Tiền vật liệu,3.552.000,Biến phí,Chi phí giá vốn
2024.01,vật liệu tt,Tiền vật liệu,16.180.000,Biến phí,Chi phí giá vốn
2024.01,mũi khoan tt,Tiền vật liệu,260.000,Biến phí,Chi phí giá vốn
2024.01,ồ banh môi,Tiền vật liệu,106.000,Biến phí,Chi phí giá vốn
