THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2021.01,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2021.01,hoa trái cây,Mua đồ hành chính,948.000,Biến phí,Chi phí hành chính
2021.01,hoa trái cây,Mua đồ hành chính,905.000,Biến phí,Chi phí hành chính
2021.01,hoa bi,Mua đồ hành chính,120.000,Biến phí,Chi phí hành chính
2021.01,Lương cứng t1,Lương,366.774.927,Định phí,Chi phí QLDN
2021.01,Lương KPI t1,KPI,340.881.611,Biến phí,Chi phí bán hàng
2021.01,hoa trái cây,Mua đồ hành chính,895.000,Biến phí,Chi phí hành chính
2021.01,cúng m2,Mua đồ hành chính,1.264.000,Biến phí,Chi phí hành chính
2021.01,hoa trái cây,Mua đồ hành chính,910.000,Biến phí,Chi phí hành chính
2021.01,hoa trái cây,Mua đồ hành chính,910.000,Biến phí,Chi phí hành chính
2021.01,cúng m16,Mua đồ hành chính,880.000,Biến phí,Chi phí hành chính
2021.01,1thang chè vp+203,Mua đồ hành chính,1.200.000,Biến phí,Chi phí hành chính
2021.01,"tinh dầu, dc vệ sinh, qtpv, ly uống nước...",Mua đồ hành chính,10.081.000,Biến phí,Chi phí hành chính
2021.01,10th suối,Mua đồ hành chính,750.000,Biến phí,Chi phí hành chính
2021.01,5b nước,Mua đồ hành chính,250.000,Biến phí,Chi phí hành chính
2021.01,chổi lông gà cho xe cty,Mua đồ hành chính,50.000,Biến phí,Chi phí hành chính
2021.01,bộ lau nhà,Mua đồ hành chính,260.000,Biến phí,Chi phí hành chính
2021.01,20c khắn,Mua đồ hành chính,300.000,Biến phí,Chi phí hành chính
2021.01,10th nước,Mua đồ hành chính,750.000,Biến phí,Chi phí hành chính
2021.01,tinh dầu,Mua đồ hành chính,1.650.000,Biến phí,Chi phí hành chính
2021.01,10th suối,Mua đồ hành chính,750.000,Biến phí,Chi phí hành chính
2021.01,đồ ăn khách,Mua đồ hành chính,75.000,Biến phí,Chi phí hành chính
2021.01,grap,Mua đồ hành chính,80.000,Biến phí,Chi phí hành chính
2021.01,bao lì xì,Marketing chạy Quảng cáo,1.980.000,Biến phí,Chi phí bán hàng
2021.01,in hình kol,Marketing chạy Quảng cáo,354.000,Biến phí,Chi phí bán hàng
2021.01,đinh treo hình,Marketing chạy Quảng cáo,74.000,Biến phí,Chi phí bán hàng
2021.01,in voucher,Marketing chạy Quảng cáo,480.000,Biến phí,Chi phí bán hàng
2021.01,chi xây nhà tình thương,Marketing chạy Quảng cáo,10.000.000,Biến phí,Chi phí bán hàng
2021.01,kin,Marketing chạy Quảng cáo,10.500.000,Biến phí,Chi phí bán hàng
2021.01,% khách Hà Tài,Marketing chạy Quảng cáo,13.500.000,Biến phí,Chi phí bán hàng
2021.01,% khách 24246,Marketing chạy Quảng cáo,6.210.000,Biến phí,Chi phí bán hàng
2021.01,0978xxx,Marketing chạy Quảng cáo,300.000,Biến phí,Chi phí bán hàng
2021.01,gia hạn tool,Marketing chạy Quảng cáo,250.000,Biến phí,Chi phí bán hàng
2021.01,0342xxx,Marketing chạy Quảng cáo,2.467.000,Biến phí,Chi phí bán hàng
2021.01,% trả góp 2001,Marketing chạy Quảng cáo,1.394.954,Biến phí,Chi phí bán hàng
2021.01,% trả góp 3462,Marketing chạy Quảng cáo,1.012.000,Biến phí,Chi phí bán hàng
2021.01,% trả góp 4961,Marketing chạy Quảng cáo,1.104.000,Biến phí,Chi phí bán hàng
2021.01,giấy in phim,Marketing chạy Quảng cáo,300.000,Biến phí,Chi phí bán hàng
2021.01,in thông báo nghỉ tết,Mua đồ hành chính,30.000,Biến phí,Chi phí hành chính
2021.01,hotline 0978,Mua đồ hành chính,200.000,Biến phí,Chi phí hành chính
2021.01,khung ảnh,Mua đồ hành chính,1.185.000,Biến phí,Chi phí hành chính
2021.01,máy cà thẻ,Mua đồ hành chính,3.000.000,Biến phí,Chi phí hành chính
2021.01,cúp,Mua đồ hành chính,1.425.000,Biến phí,Chi phí hành chính
2021.01,in bằng khen,Mua đồ hành chính,87.000,Biến phí,Chi phí hành chính
2021.01,"kẹp, gim bấm",Mua đồ hành chính,60.000,Biến phí,Chi phí hành chính
2021.01,Vpp,Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2021.01,phí gửi xe,Mua đồ hành chính,950.000,Biến phí,Chi phí hành chính
2021.01,sữa máy lạnh,Mua đồ hành chính,200.000,Biến phí,Chi phí hành chính
2021.01,túi zip,Mua đồ hành chính,70.000,Biến phí,Chi phí hành chính
2021.01,hoa giả để bàn,Mua đồ hành chính,1.230.000,Biến phí,Chi phí hành chính
2021.01,in bao lì xì,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2021.01,vs máy tính cty,Mua đồ hành chính,150.000,Biến phí,Chi phí hành chính
2021.01,trang trí tết,Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2021.01,mua đồ tất niên,Mua đồ hành chính,3.030.000,Biến phí,Chi phí hành chính
2021.01,rác y tế,Mua đồ hành chính,3.000.000,Biến phí,Chi phí hành chính
2021.01,Pin máy ảnh,Mua đồ hành chính,984.000,Biến phí,Chi phí hành chính
2021.01,chi thưởng nv cuối năm,Quỹ thưởng tổng cuối năm,49.725.000,Định phí,Chi phí khác
2021.01,tất niên,Mua đồ hành chính,31.500.000,Biến phí,Chi phí hành chính
2021.01,lì xì nv,Quỹ thưởng tổng cuối năm,20.000.000,Định phí,Chi phí khác
2021.01,bánh sn t1,Mua đồ hành chính,350.000,Biến phí,Chi phí hành chính
2021.01,2c chổi,Mua đồ hành chính,80.000,Biến phí,Chi phí hành chính
2021.01,"thuế môn  bài, VAT",Mua đồ hành chính,3.380.000,Biến phí,Chi phí hành chính
2021.01,sửa máy lạnh,Mua đồ hành chính,200.000,Biến phí,Chi phí hành chính
2021.01,thẻ tên nv,Mua đồ hành chính,470.000,Biến phí,Chi phí hành chính
2021.01,"usb wf, sạc lap",Mua đồ hành chính,580.000,Biến phí,Chi phí hành chính
2021.01,tang nhà av,Mua đồ hành chính,5.000.000,Biến phí,Chi phí hành chính
2021.01,tết công an khu vực,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2021.01,chi phó y tế q1,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2021.01,Hạt điều tặng đối tác,Mua đồ hành chính,2.750.000,Biến phí,Chi phí hành chính
2021.01,rác,Mua đồ hành chính,110.000,Biến phí,Chi phí hành chính
2021.01,chuyển vp,Mua đồ hành chính,600.000,Biến phí,Chi phí hành chính
2021.01,bìa lá lỗ,Mua đồ hành chính,400.000,Biến phí,Chi phí hành chính
2021.01,thay ổ khoá,Mua đồ hành chính,250.000,Biến phí,Chi phí hành chính
2021.01,phạt quảng cáo,Mua đồ hành chính,25.000.000,Biến phí,Chi phí hành chính
2021.01,xăng xe,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2021.01,cơm khách,Mua đồ hành chính,105.000,Biến phí,Chi phí hành chính
2021.01,grap,Mua đồ hành chính,25.000,Biến phí,Chi phí hành chính
2021.01,xe cty,Mua đồ hành chính,1.900.000,Biến phí,Chi phí hành chính
