THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2023.01,hoa trái cây,Mua đồ hành chính,315.000,Biến phí,Chi phí hành chính
2023.01,chè t12,Mua đồ hành chính,620.000,Biến phí,Chi phí hành chính
2023.01,cúng m16,Mua đồ hành chính,325.000,Biến phí,Chi phí hành chính
2023.01,cúng vp mới,Mua đồ hành chính,600.000,Biến phí,Chi phí hành chính
2023.01,phí cúng vp,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.01,trái cây,Mua đồ hành chính,276.000,Biến phí,Chi phí hành chính
2023.01,hoa trái cây,Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2023.01,đồ cúng,Mua đồ hành chính,750.000,Biến phí,Chi phí hành chính
2023.01,cúng cuối năm,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.01,hotlime teennie,Mua đồ hành chính,1.377.000,Biến phí,Chi phí hành chính
2023.01,TN,Mua đồ hành chính,17.787.000,Biến phí,Chi phí hành chính
2023.01,353 gth 527,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.01,149 gth 893,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.01,Marketing,Marketing chạy Quảng cáo,30.000.000,Biến phí,Chi phí bán hàng
2023.01,61A,Chi phí Mặt bằng,57.500.000,Định phí,Chi phí QLDN
2023.01,Điện 61A,Điện + Nước,12.026.000,Định phí,Chi phí hành chính
2023.01,Labo,Tiền Lab,0,Biến phí,Chi phí giá vốn
2023.01,Bảo hiểm nv,Bảo hiểm,8.960.000,Định phí,Chi phí QLDN
2023.01,3th bằng cô châu (t1.2.3/23),Thuê bằng,9.000.000,Định phí,Chi phí QLDN
2023.01,lương BS,Lương,98.045.455,Định phí,Chi phí QLDN
2023.01,% BS,KPI,138.679.000,Biến phí,Chi phí bán hàng
2023.01,lươngnv,Lương,181.216.912,Định phí,Chi phí QLDN
2023.01,% nv,KPI,36.405.245,Biến phí,Chi phí bán hàng
2023.01,thun thước đo kẽ,Tiền vật liệu,1.500.000,Biến phí,Chi phí giá vốn
2023.01,vật tư,Tiền vật liệu,233.000,Biến phí,Chi phí giá vốn
2023.01,Thanh Ngọc T12/22,Tiền vật liệu,18.570.000,Biến phí,Chi phí giá vốn
2023.02,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2023.02,hotline tee,Mua đồ hành chính,727.000,Biến phí,Chi phí hành chính
2023.02,858 gth 861,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.02,296 gth 887,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.02,nhựa ép máng duy trì,Mua đồ hành chính,550.000,Biến phí,Chi phí hành chính
2023.02,31 TN,Mua đồ hành chính,17.787.000,Biến phí,Chi phí hành chính
2023.02,hàm duy trì khách,Mua đồ hành chính,400.000,Biến phí,Chi phí hành chính
2023.02,900 gth 901,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.02,hàm duy trì 202,Mua đồ hành chính,400.000,Biến phí,Chi phí hành chính
2023.02,263 gth 868,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.02,marketing,Marketing chạy Quảng cáo,115.000.000,Biến phí,Chi phí bán hàng
2023.02,61A,Chi phí Mặt bằng,57.500.000,Định phí,Chi phí QLDN
2023.02,Điện 61A,Điện + Nước,8.041.000,Định phí,Chi phí hành chính
2023.02,bảo hiểm nv,Bảo hiểm,13.767.680,Định phí,Chi phí QLDN
2023.02,lương BS,Lương,134.062.500,Định phí,Chi phí QLDN
2023.02,% BS nhận,KPI,297.859.175,Biến phí,Chi phí bán hàng
2023.02,lương bp khác,Lương,217.123.146,Định phí,Chi phí QLDN
2023.02,% các bp khác,KPI,56.603.095,Biến phí,Chi phí bán hàng
2023.02,button kim loại,Tiền vật liệu,1.500.000,Biến phí,Chi phí giá vốn
2023.02,Thanh Ngọc t1/23,Tiền vật liệu,16.642.000,Biến phí,Chi phí giá vốn
2023.02,Khí cụ T1+2/2023,Tiền vật liệu,19.000.000,Biến phí,Chi phí giá vốn
2023.03,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2023.03,hàm duy trì 956,Mua đồ hành chính,400.000,Biến phí,Chi phí hành chính
