THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ GÓP,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.10,01/10/2023,45.600.000,,,,,,33.600.000,33.600.000
2023.10,01/10/2023,44.400.000,,,,,,44.400.000,44.400.000
2023.10,01/10/2023,52.000.000,,,,,,40.000.000,40.000.000
2023.11,01/11/2023,0,0,0,0,0,0,0,0
2023.11,02/11/2023,10.000.000,33.000.000,32.497.000,0,0,0,43.000.000,42.497.000
2023.11,03/11/2023,0,0,0,0,0,0,0,0
2023.11,04/11/2023,0,0,0,0,0,0,0,0
2023.11,05/11/2023,0,0,0,0,0,0,0,0
2023.11,06/11/2023,0,0,0,0,0,0,0,0
2023.11,07/11/2023,0,0,0,0,0,0,0,0
2023.11,08/11/2023,0,0,0,1.000.000,0,0,1.000.000,1.000.000
2023.11,09/11/2023,0,0,0,0,0,0,0,0
2023.11,10/11/2023,0,0,0,0,0,0,0,0
2023.11,11/11/2023,0,0,0,0,0,0,0,0
2023.11,12/11/2023,0,0,0,0,0,0,0,0
2023.11,13/11/2023,0,0,0,0,0,0,0,0
2023.11,14/11/2023,0,0,0,0,0,0,0,0
2023.11,15/11/2023,0,0,0,0,0,0,0,0
2023.11,16/11/2023,0,5.000.000,4.920.000,0,0,0,5.000.000,4.920.000
2023.11,17/11/2023,84.000.000,0,0,0,0,0,84.000.000,84.000.000
2023.11,18/11/2023,30.000.000,0,0,0,0,0,30.000.000,30.000.000
2023.11,19/11/2023,0,5.000.000,4.920.000,0,0,0,5.000.000,4.920.000
2023.11,20/11/2023,0,0,0,0,0,0,0,0
2023.11,21/11/2023,0,0,0,0,0,0,0,0
2023.11,22/11/2023,0,0,0,5.000.000,0,0,5.000.000,5.000.000
2023.11,23/11/2023,50.000.000,25.000.000,24.600.000,22.360.000,0,0,97.360.000,96.960.000
2023.11,24/11/2023,0,0,0,22.800.000,0,0,22.800.000,22.800.000
2023.11,25/11/2023,0,6.500.000,6.387.000,0,0,0,6.500.000,6.387.000
2023.11,26/11/2023,0,0,0,0,0,0,0,0
2023.11,27/11/2023,0,15.300.000,15.055.200,0,0,0,15.300.000,15.055.200
2023.11,28/11/2023,0,0,0,0,0,0,0,0
2023.11,29/11/2023,0,0,0,0,0,0,0,0
2023.11,30/11/2023,10.800.000,0,0,0,0,0,10.800.000,10.800.000
2023.11,30/11/2023,60.000.000,0,0,0,,,60.000.000,60.000.000
2023.12,01/12/2023,0,2.000.000,1.968.000,0,0,0,2.000.000,1.968.000
2023.12,02/12/2023,15.300.000,0,0,84.640.000,0,0,99.940.000,99.940.000
2023.12,03/12/2023,0,6.000.000,5.904.000,10.000.000,0,0,16.000.000,15.904.000
2023.12,04/12/2023,0,5.000.000,4.920.000,0,0,0,5.000.000,4.920.000
2023.12,05/12/2023,0,0,0,0,0,0,0,0
2023.12,06/12/2023,13.265.000,1.060.000,1.045.140,5.620.000,15.120.000,0,35.065.000,35.050.140
2023.12,07/12/2023,0,45.355.000,44.629.140,2.500.000,12.500.000,0,60.355.000,59.629.140
2023.12,08/12/2023,10.609.500,105.900.000,104.205.600,3.050.000,0,0,119.559.500,117.865.100
2023.12,09/12/2023,0,99.000.000,97.416.000,0,0,0,99.000.000,97.416.000
2023.12,10/12/2023,5.600.000,2.850.000,2.804.400,26.415.000,0,0,34.865.000,34.819.400
2023.12,11/12/2023,13.680.000,11.180.000,11.001.120,8.099.500,0,0,32.959.500,32.780.620
2023.12,12/12/2023,2.125.000,0,0,4.865.000,0,0,6.990.000,6.990.000
2023.12,13/12/2023,3.700.000,450.000,447.300,2.250.000,0,0,6.400.000,6.397.300
2023.12,14/12/2023,11.700.000,190.000.000,186.860.000,4.200.000,0,0,205.900.000,202.760.000
2023.12,15/12/2023,0,14.450.000,14.216.800,525.000,0,0,14.975.000,14.741.800
2023.12,16/12/2023,7.200.000,0,0,1.000.000,0,0,8.200.000,8.200.000
2023.12,17/12/2023,4.575.000,28.600.000,28.142.400,45.715.000,0,0,78.890.000,78.432.400
2023.12,18/12/2023,4.100.000,0,0,1.820.000,0,0,5.920.000,5.920.000
2023.12,19/12/2023,41.550.000,0,0,1.410.000,0,0,42.960.000,42.960.000
2023.12,20/12/2023,1.350.000,4.850.000,4.772.400,1.700.000,0,0,7.900.000,7.822.400
2023.12,21/12/2023,6.850.000,4.500.000,4.428.000,7.080.000,18.270.000,0,36.700.000,36.628.000
2023.12,22/12/2023,1.800.000,0,0,475.000,0,0,2.275.000,2.275.000
2023.12,23/12/2023,2.350.000,500.000,484.000,1.200.000,0,0,4.050.000,4.034.000
2023.12,24/12/2023,6.200.000,9.525.000,9.372.600,8.980.000,0,0,24.705.000,24.552.600
2023.12,25/12/2023,5.000.000,28.799.000,28.190.472,29.630.000,0,0,63.429.000,62.820.472
2023.12,26/12/2023,38.835.000,5.000.000,4.920.000,28.400.000,0,0,72.235.000,72.155.000
2023.12,27/12/2023,350.000,350.000,344.400,29.765.000,97.776.000,0,128.241.000,128.235.400
2023.12,28/12/2023,1.200.000,5.700.000,5.612.300,5.425.000,0,0,12.325.000,12.237.300
2023.12,29/12/2023,19.370.000,2.550.000,2.499.600,9.290.000,0,0,31.210.000,31.159.600
2023.12,30/12/2023,0,0,0,1.250.000,0,0,1.250.000,1.250.000
2023.12,31/12/2023,3.350.000,4.400.000,4.329.600,5.000.000,0,0,12.750.000,12.679.600
2024.01,01/01/2024,0,0,0,0,0,0,0,0
2024.01,02/01/2024,12.990.000,3.000.000,2.954.010,11.300.000,0,0,27.290.000,27.244.010
2024.01,03/01/2024,30.795.000,1.610.000,1.584.240,29.250.000,0,0,61.655.000,61.629.240
2024.01,04/01/2024,1.715.000,956.000,941.000,101.275.000,0,1.940.000,102.006.000,101.991.000
2024.01,05/01/2024,197.790.000,0,0,9.725.000,0,0,207.515.000,207.515.000
2024.01,06/01/2024,11.650.000,0,0,910.000,0,0,12.560.000,12.560.000
2024.01,07/01/2024,4.215.000,1.120.000,1.102.080,215.105.000,0,0,220.440.000,220.422.080
2024.01,08/01/2024,19.075.000,850.000,836.400,4.610.000,0,0,24.535.000,24.521.400
2024.01,09/01/2024,99.350.000,7.250.000,7.134.000,1.120.000,0,0,107.720.000,107.604.000
2024.01,10/01/2024,13.290.000,2.500.000,2.460.000,25.800.000,0,0,41.590.000,41.550.000
2024.01,11/01/2024,3.850.000,18.600.000,18.302.400,49.700.000,0,0,72.150.000,71.852.400
2024.01,12/01/2024,6.820.000,19.400.000,19.076.600,32.700.000,0,0,58.920.000,58.596.600
2024.01,13/01/2024,0,350.000,344.400,2.305.000,0,0,2.655.000,2.649.400
2024.01,14/01/2024,11.310.000,4.215.000,4.147.560,11.850.000,0,0,27.375.000,27.307.560
2024.01,15/01/2024,3.600.000,2.615.000,2.573.160,6.350.000,3.300.000,0,15.865.000,15.823.160
2024.01,16/01/2024,41.740.000,0,0,210.680.000,0,0,252.420.000,252.420.000
2024.01,17/01/2024,253.100.000,1.970.000,1.938.480,70.450.000,0,0,325.520.000,325.488.480
2024.01,18/01/2024,112.020.000,0,0,13.025.000,0,0,125.045.000,125.045.000
2024.01,19/01/2024,5.780.000,6.125.000,6.025.800,1.500.000,0,0,13.405.000,13.305.800
2024.01,20/01/2024,27.500.000,2.700.000,2.656.800,2.285.000,0,12.000.000,20.485.000,20.441.800
2024.01,21/01/2024,43.820.000,16.260.000,15.999.840,10.620.000,0,0,70.700.000,70.439.840
2024.01,22/01/2024,74.350.000,0,0,3.645.000,0,0,77.995.000,77.995.000
2024.01,23/01/2024,4.040.000,1.120.000,1.102.080,25.200.000,0,0,30.360.000,30.342.080
2024.01,24/01/2024,25.200.000,5.000.000,4.920.000,32.300.000,42.580.000,0,105.080.000,105.000.000
2024.01,25/01/2024,50.300.000,0,0,2.700.000,0,10.000.000,43.000.000,43.000.000
2024.01,26/01/2024,9.250.000,0,0,121.120.000,0,0,130.370.000,130.370.000
2024.01,27/01/2024,3.875.000,0,0,700.000,0,0,4.575.000,4.575.000
2024.01,28/01/2024,2.550.000,2.600.000,2.570.400,3.650.000,0,0,8.800.000,8.770.400
2024.01,29/01/2024,104.600.000,1.200.000,1.180.800,8.365.000,0,15.000.000,99.165.000,99.145.800
2024.01,30/01/2024,96.550.000,500.000,490.300,102.710.000,0,0,199.760.000,199.750.300
2024.01,31/01/2024,7.650.000,1.050.000,1.033.200,35.200.000,0,0,43.900.000,43.883.200
2024.02,01/02/2024,4.025.000,0,0,115.000.000,0,0,119.025.000,119.025.000
2024.02,02/02/2024,11.600.000,3.385.000,3.330.840,10.965.000,0,0,25.950.000,25.895.840
2024.02,03/02/2024,6.700.000,1.715.000,1.671.560,850.000,0,0,9.265.000,9.221.560
2024.02,04/02/2024,3.875.000,1.700.000,1.672.800,800.000,0,0,6.375.000,6.347.800
2024.02,05/02/2024,0,1.850.000,1.818.400,0,0,0,1.850.000,1.818.400
2024.02,06/02/2024,0,0,0,0,0,0,0,0
2024.02,07/02/2024,0,0,0,0,0,0,0,0
2024.02,08/02/2024,0,0,0,0,0,0,0,0
2024.02,09/02/2024,0,0,0,0,0,0,0,0
2024.02,10/02/2024,0,0,0,0,0,0,0,0
2024.02,11/02/2024,0,0,0,0,0,0,0,0
2024.02,12/02/2024,0,0,0,0,0,0,0,0
2024.02,13/02/2024,0,0,0,0,0,0,0,0
2024.02,14/02/2024,0,0,0,0,0,0,0,0
2024.02,15/02/2024,0,0,0,0,0,0,0,0
2024.02,16/02/2024,0,0,0,0,0,0,0,0
2024.02,17/02/2024,0,0,0,0,0,0,0,0
2024.02,18/02/2024,15.130.000,3.200.000,3.148.800,48.350.000,0,0,66.680.000,66.628.800
2024.02,19/02/2024,64.165.000,5.750.000,5.658.000,6.400.000,0,0,76.315.000,76.223.000
2024.02,20/02/2024,10.250.000,0,0,750.000,0,0,11.000.000,11.000.000
2024.02,21/02/2024,11.400.000,0,0,7.730.000,0,0,19.130.000,19.130.000
2024.02,22/02/2024,135.380.000,140.445.000,138.199.760,49.000.000,0,2.000.000,322.825.000,320.579.760
2024.02,23/02/2024,3.375.000,3.860.000,3.798.240,2.420.000,0,0,9.655.000,9.593.240
2024.02,24/02/2024,32.550.000,3.265.000,3.212.760,16.595.000,0,0,52.410.000,52.357.760
2024.02,25/02/2024,1.330.000,945.000,925.880,11.120.000,0,0,13.395.000,13.375.880
2024.02,26/02/2024,10.750.000,8.730.000,8.573.200,0,0,0,19.480.000,19.323.200
2024.02,27/02/2024,4.343.000,3.000.000,2.952.000,310.000,0,0,7.653.000,7.605.000
2024.02,28/02/2024,2.350.000,350.000,344.400,1.850.000,0,0,4.550.000,4.544.400
2024.02,29/02/2024,5.000.000,0,0,49.660.000,0,0,54.660.000,54.660.000
2024.03,01/03/2024,4.050.000,0,0,12.500.000,0,0,16.550.000,16.550.000
2024.03,02/03/2024,1.565.000,850.000,836.400,6.850.000,0,210.000,9.055.000,9.041.400
2024.03,03/03/2024,12.655.000,3.350.000,3.301.400,21.200.000,0,0,37.205.000,37.156.400
2024.03,04/03/2024,7.195.000,14.790.000,14.558.360,68.350.000,0,0,90.335.000,90.103.360
2024.03,05/03/2024,22.100.000,5.000.000,4.920.000,17.200.000,0,0,44.300.000,44.220.000
2024.03,06/03/2024,7.000.000,9.500.000,9.348.000,4.900.000,0,0,21.400.000,21.248.000
2024.03,07/03/2024,18.200.000,4.970.000,4.890.480,4.400.000,0,0,27.570.000,27.490.480
2024.03,08/03/2024,36.575.000,4.215.000,4.147.560,18.650.000,0,0,59.440.000,59.372.560
2024.03,09/03/2024,16.690.000,8.695.000,8.555.880,4.350.000,0,0,29.735.000,29.595.880
2024.03,10/03/2024,2.850.000,9.850.000,9.710.890,20.455.000,0,0,33.155.000,33.015.890
2024.03,11/03/2024,19.835.000,485.000,477.240,54.860.000,0,0,75.180.000,75.172.240
2024.03,12/03/2024,0,350.000,344.400,10.870.000,0,0,11.220.000,11.214.400
2024.03,13/03/2024,3.100.000,3.000.000,2.952.000,700.000,0,0,6.800.000,6.752.000
2024.03,14/03/2024,4.550.000,350.000,344.400,2.030.000,86.905.000,0,93.835.000,93.829.400
2024.03,15/03/2024,14.400.000,2.015.000,1.976.120,6.900.000,0,0,23.315.000,23.276.120
2024.03,16/03/2024,69.550.000,2.075.000,2.050.300,34.300.000,0,0,105.925.000,105.900.300
2024.03,17/03/2024,1.060.000,11.100.000,10.922.400,28.700.000,0,0,40.860.000,40.682.400
2024.03,18/03/2024,4.350.000,1.500.000,1.476.000,11.309.500,0,0,17.159.500,17.135.500
2024.03,19/03/2024,24.215.000,3.060.000,3.011.040,233.670.000,0,0,260.945.000,260.896.040
2024.03,20/03/2024,142.245.000,1.120.000,1.102.080,5.000.000,0,0,148.365.000,148.347.080
2024.03,21/03/2024,10.500.000,27.634.000,27.191.856,42.395.000,0,2.000.000,78.529.000,78.086.856
2024.03,22/03/2024,80.530.000,1.620.000,1.590.780,910.000,0,0,83.060.000,83.030.780
2024.03,23/03/2024,11.700.000,5.730.000,5.620.320,35.644.500,0,1.000.000,52.074.500,51.964.820
2024.03,24/03/2024,4.535.000,51.300.000,50.479.200,7.130.000,0,0,62.965.000,62.144.200
2024.03,25/03/2024,9.770.000,0,0,53.900.000,0,100.000,63.570.000,63.570.000
2024.03,26/03/2024,13.242.000,1.015.000,992.670,41.500.000,0,0,55.757.000,55.734.670
2024.03,27/03/2024,13.050.000,15.000.000,14.760.000,14.900.000,0,0,42.950.000,42.710.000
2024.03,28/03/2024,3.000.000,2.350.000,2.315.900,1.200.000,0,0,6.550.000,6.515.900
2024.03,29/03/2024,23.575.000,17.800.000,17.483.000,38.395.000,0,0,79.770.000,79.453.000
2024.03,30/03/2024,700.000,2.000.000,1.954.000,11.380.000,0,0,14.080.000,14.034.000
2024.03,31/03/2024,3.630.000,350.000,344.000,6.610.000,0,0,10.590.000,10.584.000
2024.04,01/04/2024,13.500.000,7.500.000,7.365.773,54.535.000,0,0,75.535.000,75.400.773
2024.04,02/04/2024,5.210.000,0,0,0,0,0,5.210.000,5.210.000
2024.04,03/04/2024,10.683.000,7.250.000,7.134.000,1.435.000,0,0,19.368.000,19.252.000
2024.04,04/04/2024,0,350.000,344.400,2.500.000,0,0,2.850.000,2.844.400
2024.04,05/04/2024,4.400.000,400.000,393.600,7.150.000,0,0,11.950.000,11.943.600
2024.04,06/04/2024,1.210.000,0,0,2.350.000,0,0,3.560.000,3.560.000
2024.04,07/04/2024,0,2.900.000,2.857.600,18.830.000,0,0,21.730.000,21.687.600
2024.04,08/04/2024,4.250.000,0,0,6.750.000,0,0,11.000.000,11.000.000
2024.04,09/04/2024,4.700.000,3.060.000,3.011.040,19.565.000,0,0,27.325.000,27.276.040
2024.04,10/04/2024,4.250.000,9.900.000,9.741.600,4.200.000,0,0,18.350.000,18.191.600
2024.04,11/04/2024,6.225.000,2.500.000,2.460.000,9.430.000,0,0,18.155.000,18.115.000
2024.04,12/04/2024,3.200.000,30.075.000,29.602.040,13.105.000,0,0,46.380.000,45.907.040
2024.04,13/04/2024,6.765.000,1.400.000,1.377.600,5.145.000,0,0,13.310.000,13.287.600
2024.04,14/04/2024,3.500.000,350.000,344.400,8.325.000,0,0,12.175.000,12.169.400
2024.04,15/04/2024,48.270.000,18.515.000,18.218.710,38.400.000,15.750.000,0,120.935.000,120.638.710
2024.04,16/04/2024,7.965.000,17.470.000,17.190.480,350.000,0,0,25.785.000,25.505.480
2024.04,17/04/2024,1.750.000,2.300.000,2.263.200,30.915.000,0,0,34.965.000,34.928.200
2024.04,18/04/2024,0,0,0,0,0,0,0,0
2024.04,19/04/2024,1.210.000,3.200.000,3.163.800,6.380.000,0,0,10.790.000,10.753.800
2024.04,20/04/2024,350.000,9.800.000,9.650.700,0,0,0,10.150.000,10.000.700
2024.04,21/04/2024,300.000,175.000,170.600,15.050.000,0,0,15.525.000,15.520.600
2024.04,22/04/2024,12.060.000,0,0,3.850.000,0,0,15.910.000,15.910.000
2024.04,23/04/2024,46.000.000,1.850.000,1.820.400,368.539.500,0,3.000.000,413.389.500,413.359.900
2024.04,24/04/2024,4.350.000,2.000.000,1.968.000,14.500.000,0,0,20.850.000,20.818.000
2024.04,25/04/2024,5.750.000,0,0,44.350.000,0,0,50.100.000,50.100.000
2024.04,26/04/2024,14.000.000,0,0,34.000.000,0,0,48.000.000,48.000.000
2024.04,27/04/2024,20.350.000,4.000.000,3.936.000,6.705.000,0,100.000,30.955.000,30.991.000
2024.04,28/04/2024,0,3.710.000,3.650.640,8.350.000,0,0,12.060.000,12.000.640
2024.04,29/04/2024,0,30.900.000,30.045.281,0,0,0,30.900.000,30.045.281
2024.04,30/04/2024,0,0,0,0,0,0,0,0
2024.05,01/05/2024,0,0,0,0,0,0,0,0
2024.05,02/05/2024,700.000,3.400.000,3.345.600,2.500.000,29.000.000,0,35.600.000,35.545.600
