THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ GÓP,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2021.01,01/01/2021,0,0,0,0,,0,0,0
2021.01,02/01/2021,94.400.000,14.280.000,14.059.710,0,,0,108.680.000,108.459.710
2021.01,03/01/2021,9.308.000,65.000.000,63.903.500,10.400.000,,0,84.708.000,83.611.500
2021.01,04/01/2021,8.401.000,0,0,13.780.000,,0,22.181.000,22.181.000
2021.01,05/01/2021,127.000.000,0,0,45.000.000,,0,172.000.000,172.000.000
2021.01,06/01/2021,36.650.000,40.000.000,39.280.000,21.730.000,,0,98.380.000,97.660.000
2021.01,07/01/2021,5.000.000,10.000.000,9.815.000,0,,0,15.000.000,14.815.000
2021.01,08/01/2021,112.778.000,0,0,10.000.000,,10.800.000,122.778.000,122.778.000
2021.01,09/01/2021,11.000.000,21.870.000,21.476.340,0,,0,32.870.000,32.476.340
2021.01,10/01/2021,12.000.000,9.050.000,8.888.000,37.295.000,,0,58.345.000,58.183.000
2021.01,11/01/2021,0,34.680.000,34.461.385,100.225.000,,0,134.905.000,134.686.385
2021.01,12/01/2021,99.360.000,40.297.500,40.125.364,16.738.000,,0,156.395.500,156.223.364
2021.01,13/01/2021,34.080.000,22.430.000,22.026.260,52.950.000,,0,109.460.000,109.056.260
2021.01,14/01/2021,29.280.000,350.000,343.000,20.000.000,,0,49.630.000,49.623.000
2021.01,15/01/2021,130.700.000,28.600.000,28.192.000,15.845.000,,0,175.145.000,174.737.000
2021.01,16/01/2021,22.000.000,12.000.000,11.934.000,93.400.000,,0,127.400.000,127.334.000
2021.01,17/01/2021,5.000.000,3.050.000,3.020.100,12.000.000,,0,20.050.000,20.020.100
2021.01,18/01/2021,78.986.000,46.893.000,46.549.989,14.275.000,,0,140.154.000,139.810.989
2021.01,19/01/2021,52.375.000,54.135.000,53.684.000,0,,1.350.000,105.160.000,104.709.000
2021.01,20/01/2021,26.925.000,27.350.000,26.857.000,2.305.000,,0,56.580.000,56.087.000
2021.01,21/01/2021,29.200.000,5.850.000,5.744.000,0,,0,35.050.000,34.944.000
2021.01,22/01/2021,60.850.000,8.900.000,8.768.100,26.980.000,,0,96.730.000,96.598.100
2021.01,23/01/2021,20.900.000,7.650.000,7.600.600,34.515.000,,0,63.065.000,63.015.600
2021.01,24/01/2021,10.000.000,0,0,5.000.000,,0,15.000.000,15.000.000
2021.01,25/01/2021,126.567.500,5.500.000,5.467.000,31.907.500,,0,163.975.000,163.942.000
2021.01,26/01/2021,0,64.570.000,64.153.580,31.500.000,,0,96.070.000,95.653.580
2021.01,27/01/2021,630.000,12.750.000,12.657.500,2.500.000,,0,15.880.000,15.787.500
2021.01,28/01/2021,116.037.500,315.000,309.960,10.000.000,,0,126.352.500,126.347.460
2021.01,29/01/2021,13.490.000,0,0,37.000.000,,0,50.490.000,50.490.000
2021.01,30/01/2021,28.700.000,51.650.000,50.823.600,0,,0,80.350.000,79.523.600
2021.01,31/01/2021,6.200.000,12.500.000,12.400.000,6.000.000,,0,24.700.000,24.600.000
2021.02,01/02/2021,27.380.000,35.000.000,34.790.000,0,,0,62.380.000,62.170.000
2021.02,02/02/2021,2.390.000,18.550.000,18.253.200,3.500.000,,0,24.440.000,24.143.200
2021.02,03/02/2021,136.595.000,19.850.000,19.722.400,0,,0,156.445.000,156.317.400
2021.02,04/02/2021,0,0,0,0,,0,0,0
2021.02,05/02/2021,2.815.000,0,0,24.600.000,,350.000,27.065.000,27.065.000
2021.02,06/02/2021,4.775.000,0,0,2.500.000,,0,7.275.000,7.275.000
2021.02,07/02/2021,0,0,0,0,,0,0,0
2021.02,08/02/2021,0,0,0,0,,0,0,0
2021.02,09/02/2021,0,0,0,0,,0,0,0
2021.02,10/02/2021,0,0,0,0,,0,0,0
2021.02,11/02/2021,0,0,0,0,,0,0,0
2021.02,12/02/2021,0,0,0,0,,0,0,0
2021.02,13/02/2021,0,0,0,0,,0,0,0
2021.02,14/02/2021,0,0,0,0,,0,0,0
2021.02,15/02/2021,0,0,0,0,,0,0,0
2021.02,16/02/2021,0,0,0,0,,0,0,0
2021.02,17/02/2021,0,0,0,0,,0,0,0
2021.02,18/02/2021,0,0,0,0,,0,0,0
2021.02,19/02/2021,0,0,0,0,,0,0,0
2021.02,20/02/2021,0,0,0,0,,0,0,0
2021.02,21/02/2021,14.000.000,0,0,10.092.500,,0,24.092.500,24.092.500
2021.02,22/02/2021,76.050.000,18.850.000,18.746.840,7.400.000,,0,102.300.000,102.196.840
2021.02,23/02/2021,0,48.000.000,47.232.000,0,,2.175.000,45.825.000,45.057.000
2021.02,24/02/2021,5.165.000,16.500.000,16.227.000,0,,0,21.665.000,21.392.000
2021.02,25/02/2021,4.950.000,0,0,0,,5.000.000,-50.000,-50.000
2021.02,26/02/2021,30.000.000,10.000.000,9.840.000,0,,0,40.000.000,39.840.000
2021.02,27/02/2021,5.350.000,5.370.000,5.303.280,102.500.000,,0,113.220.000,113.153.280
2021.02,28/02/2021,2.940.000,35.577.500,35.144.710,0,,0,38.517.500,38.084.710
2021.03,01/03/2021,38.068.000,2.400.000,2.361.600,0,,0,40.468.000,40.429.600
2021.03,02/03/2021,665.000,0,0,0,,0,665.000,665.000
2021.03,03/03/2021,8.370.000,56.550.000,55.645.200,700.000,,0,65.620.000,64.715.200
2021.03,04/03/2021,5.765.000,80.990.000,80.494.160,0,,0,86.755.000,86.259.160
2021.03,05/03/2021,1.500.000,30.000.000,29.520.000,1.000.000,,2.325.000,30.175.000,29.695.000
2021.03,06/03/2021,112.572.500,65.027.500,64.507.835,0,,0,177.600.000,177.080.335
2021.03,07/03/2021,18.200.000,54.700.000,54.333.300,16.990.000,,0,89.890.000,89.523.300
2021.03,08/03/2021,5.560.000,0,0,0,,0,5.560.000,5.560.000
2021.03,09/03/2021,37.925.000,20.350.000,20.023.000,0,,0,58.275.000,57.948.000
2021.03,10/03/2021,32.500.000,700.000,685.000,20.000.000,,0,53.200.000,53.185.000
2021.03,11/03/2021,24.045.000,3.850.000,3.815.400,98.195.000,,0,126.090.000,126.055.400
2021.03,12/03/2021,101.900.000,76.400.000,75.201.600,0,,0,178.300.000,177.101.600
2021.03,13/03/2021,116.525.000,7.550.000,7.457.940,1.400.000,,1.000.000,124.475.000,124.382.940
2021.03,14/03/2021,21.565.000,7.750.000,7.640.500,0,,0,29.315.000,29.205.500
2021.03,15/03/2021,48.290.000,10.000.000,9.840.000,130.000.000,,20.000.000,168.290.000,168.130.000
2021.03,16/03/2021,14.000.000,19.980.000,19.815.120,0,,0,33.980.000,33.815.120
2021.03,17/03/2021,500.000,1.000.000,984.000,8.500.000,,0,10.000.000,9.984.000
2021.03,18/03/2021,8.800.000,0,0,0,,0,8.800.000,8.800.000
2021.03,19/03/2021,98.225.000,0,0,53.700.000,,0,151.925.000,151.925.000
2021.03,20/03/2021,15.200.000,126.665.000,125.720.000,0,,0,141.865.000,140.920.000
2021.03,21/03/2021,2.550.000,0,0,0,,0,2.550.000,2.550.000
2021.03,22/03/2021,65.585.000,10.350.000,10.148.000,30.065.000,,2.700.000,103.300.000,103.098.000
2021.03,23/03/2021,1.950.000,1.950.000,1.938.000,0,,2.150.000,1.750.000,1.738.000
2021.03,24/03/2021,10.500.000,30.000.000,29.821.000,70.000.000,,0,110.500.000,110.321.000
