THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.01,01/01/2023,8.600.000,9.600.000,9.501.000,7.400.000,0,25.600.000,25.501.000
2023.01,02/01/2023,0,0,0,0,0,0,0
2023.01,03/01/2023,11.290.000,4.700.000,4.637.300,15.230.000,0,31.220.000,31.157.300
2023.01,04/01/2023,12.840.000,41.320.000,40.678.880,16.920.000,0,71.080.000,70.438.880
2023.01,05/01/2023,36.045.000,5.250.000,5.186.800,5.140.000,0,46.435.000,46.371.800
2023.01,06/01/2023,12.100.000,7.500.000,7.430.500,36.490.000,0,56.090.000,56.020.500
2023.01,07/01/2023,12.730.000,16.060.000,15.803.040,13.970.000,0,42.760.000,42.503.040
2023.01,08/01/2023,13.650.000,4.200.000,4.132.800,8.750.000,0,26.600.000,26.532.800
2023.01,09/01/2023,5.150.000,13.045.000,12.859.780,10.015.000,0,28.210.000,28.024.780
2023.01,10/01/2023,5.245.000,3.400.000,3.338.100,27.040.000,0,35.685.000,35.623.100
2023.01,11/01/2023,3.505.000,9.045.000,8.900.000,23.090.000,0,35.640.000,35.495.000
2023.01,12/01/2023,10.100.000,3.650.000,3.604.000,10.540.000,0,24.290.000,24.244.000
2023.01,13/01/2023,15.395.000,3.500.000,3.479.000,19.925.000,0,38.820.000,38.799.000
2023.01,14/01/2023,20.115.000,13.810.000,13.679.000,6.875.000,0,40.800.000,40.669.000
2023.01,15/01/2023,12.050.000,7.700.000,7.629.000,8.545.000,0,28.295.000,28.224.000
2023.01,16/01/2023,6.600.000,3.895.000,3.832.000,2.980.000,0,13.475.000,13.412.000
2023.01,17/01/2023,5.100.000,5.400.000,5.333.600,19.000.000,0,29.500.000,29.433.600
2023.02,01/02/2023,12.755.000,4.395.000,4.324.680,8.945.000,0,26.095.000,26.024.680
2023.02,02/02/2023,12.745.000,1.445.000,1.421.880,10.450.000,0,24.640.000,24.616.880
