ID,Phân loại chi,Tài chính,Dòng tiền
2,Bảo hiểm,Chi phí QLDN,Định phí
3,Chi phí Mặt bằng,Chi phí QLDN,Định phí
4,Cộng tác viên,Chi phí bán hàng,Biến phí
5,Đào tạo,Chi phí khác,Chi phí khác
6,Đi trường,Chi phí bán hàng,Định phí
7,Điện + Nước,Chi phí hành chính,Định phí
8,Hành chính MKT,Chi phí bán hàng,Biến phí
9,Hoa hồng giới thiệu,Chi phí bán hàng,Biến phí
10,KPI,Chi phí bán hàng,Biến phí
11,Lương,Chi phí QLDN,Định phí
12,Marketing chạy Quảng cáo,Chi phí bán hàng,Biến phí
13,Mua đồ hành chính,Chi phí hành chính,Biến phí
14,Mua sắm tài sản,Chi phí khác,Chi phí khác
15,Phí cà thẻ,Chi phí bán hàng,Biến phí
16,Quỹ thưởng gián tiếp,Chi phí bán hàng,Biến phí
17,Quỹ thưởng tổng cuối năm,Chi phí khác,Định phí
18,SEO,Chi phí bán hàng,Biến phí
19,Sửa chữa,Chi phí hành chính,Định phí
20,Tặng phẩm khách,Chi phí bán hàng,Biến phí
21,Thuê bằng,Chi phí QLDN,Định phí
22,Tiền dự trù phát sinh,Chi phí khác,Định phí
23,Tiền Lab,Chi phí giá vốn,Biến phí
24,Tiền thuê xe,Chi phí hành chính,Định phí
25,Tiền thưởng nóng + liên hoan,Chi phí khác,Định phí
26,Tiền vật liệu,Chi phí giá vốn,Biến phí
27,Tiếp khách,Chi phí hành chính,Định phí
28,Tiktok,Chi phí bán hàng,Biến phí
