"Month","Year","Amount","Description","Category","Classify","Expense Type"
"01","2025","0","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Văn phòng phẩm","Biến phí"
"01","2025","15.933.334","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Văn phòng phẩm","Biến phí"
"01","2025","22.841.000","Tiền thuê xe","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí"
"01","2025","5.110.000","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Văn phòng phẩm","Biến phí"
"01","2025","18.494.808","Điện + Nước","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí"
"01","2025","12.026.667","Tiếp khách","6. Chi phí khác","Tiếp khách phòng khám","Biến phí"
"01","2025","44.291.333","Tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí"
"01","2025","180.000.000","Marketing chạy Quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí"
"01","2025","17.050.000","Sửa chữa","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí"
"01","2025","0","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí"
"01","2025","10.533.123","Quỹ thưởng gián tiếp","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí"
"01","2025","0","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí"
"01","2025","17.916.667","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí"
"01","2025","71.366.340","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí"
"01","2025","21.500.000","Tiktok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí"
"01","2025","0","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí"
"01","2025","315.750.671","KPI","4. Chi phí nhân sự","Thưởng KPI","Biến phí"
"01","2025","13.555.182","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí"
"01","2025","11.299.500","Tiếp khách","6. Chi phí khác","Tiếp khách phòng khám","Biến phí"
"01","2025","411.467.293","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí"
"01","2025","128.678.500","Chi phí Mặt bằng","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí"
"01","2025","27.979.000","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí"
"01","2025","18.000.000","Thuê bằng","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí"
