"Month","Year","Amount","Description","Category","Classify","Expense type","","","","","","","","","","","","","","","","","",""
"01","2025","  16.648.334 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  22.841.000 ","Tiền thuê xe+phí về xe","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","","","","","","","","","","","","","","","",""
"01","2025","  5.110.000 ","bãi xe cty+bãi xe nv","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  18.494.808 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  12.026.667 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  44.291.333 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  130.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  4.850.000 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  -   ","Cộng tác viên","2. Chi phí bán hàng","Agency hoặc freelancer","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  10.533.123 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  -   ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  16.866.667 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  3.806.000 ","Hoa hòng gth","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  22.500.000 ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  224.938.188 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  2.659.493 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  11.313.500 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  438.573.024 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","","","","","","","","","","","","","","","",""
"01","2025","  128.678.500 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","","","","","","","","","","","","","","","",""
