 DIỄN GIẢI ,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
,,, T1 , T2 , T3 , T4 , T5 , T6 , T7 , T8 , T9 , T10 , T11 , T12 
 Doanh thu chưa thực hiện (Khách nợ) ,,,,,,,,,,,,,,
 DÒNG TIỀN VÀO ,,  48.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 
 Tiền hiện có ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  1 , Góp vốn ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 Doanh thu ,,,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 ,  4.000.000.000 
  1 , Doanh thu khách Cũ ,,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 
  2 , Doanh thu khách Mới ,,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 
 DÒNG TIỀN RA ,,  41.508.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 ,  3.459.000.000 
,,,,,,,,,,,,,,
