DIỄN GIẢI,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
,,, T1 , T2 , T3 , T4 , T5 , T6 , T7 , T8 , T9 , T10 , T11 , T12 
Doanh thu chưa thực hiện (Khách nợ),,,,,,,,,,,,,,
DÒNG TIỀN VÀO,,0,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Tiền hiện có,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Góp vốn,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Doanh thu,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Doanh thu khách Cũ,,,,,,,,,,,,,
2,Doanh thu khách Mới,,,,,,,,,,,,,  -   
DÒNG TIỀN RA,,  56.788.333 ,  56.788.333 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,,,,,,,,,
Định phí,,,  4.025.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Chi phí nhân sự,,  -   ,,,,,,,,,,,
2,"Mặt bằng, thuê xe, bãi xe",,  4.025.000 ,,,,,,,,,,,
3,Thưởng tổng cuối năm,,  -   ,,,,,,,,,,,
Biến phí,,,  52.763.333 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Giá vốn nguyên vật liệu,,  26.133.333 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,"Các vật tư tiêu hao, thuốc",,  26.133.333 ,,,,,,,,,,,
2,Lab răng sứ,,  -   ,,,,,,,,,,,
,Chi phí kinh doanh,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Chi phí quảng cáo,,  -   ,,,,,,,,,,,
2,"Event, agency, referral",,  -   ,,,,,,,,,,,
