 DIỄN GIẢI ,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
,,, T1 , T2 , T3 , T4 , T5 , T6 , T7 , T8 , T9 , T10 , T11 , T12 
 Doanh thu chưa thực hiện (Khách nợ) ,,,,,,,,,,,,,,
 DÒNG TIỀN VÀO ,,  36.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 
 Tiền hiện có ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  1 , Góp vốn ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 Doanh thu ,,,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 
  1 , Doanh thu khách Cũ ,,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 
  2 , Doanh thu khách Mới ,,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 
 DÒNG TIỀN RA ,,  30.204.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 
,,,,,,,,,,,,,,
