DIỄN GIẢI,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
,,, T1 , T2 , T3 , T4 , T5 , T6 , T7 , T8 , T9 , T10 , T11 , T12 
Doanh thu chưa thực hiện (Khách nợ),,,,,,,,,,,,,,
DÒNG TIỀN VÀO,,0,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Tiền hiện có,,,,,,,,,,,,,,
1,Góp vốn,,,,,,,,,,,,,
Doanh thu,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Doanh thu khách Cũ,,,,,,,,,,,,,
2,Doanh thu khách Mới,,,,,,,,,,,,,
DÒNG TIỀN RA,,  130.221.667 ,  130.221.667 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,,,,,,,,,
Định phí,,,  4.025.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Chi phí nhân sự,,  -   ,,,,,,,,,,,
2,"Mặt bằng, thuê xe, bãi xe",,  4.025.000 ,,,,,,,,,,,
3,Thưởng tổng cuối năm,,  -   ,,,,,,,,,,,
Biến phí,,,  126.196.667 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Giá vốn nguyên vật liệu,,  44.566.667 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,"Các vật tư tiêu hao, thuốc",,  44.566.667 ,,,,,,,,,,,
2,Lab răng sứ,,  -   ,,,,,,,,,,,
,Chi phí kinh doanh,,  55.000.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Chi phí quảng cáo,,  55.000.000 ,,,,,,,,,,,
2,"Event, agency, referral",,  -   ,,,,,,,,,,,
3,Tặng phẩm khách,,  -   ,,,,,,,,,,,
4,Hành chính marketing,,  -   ,,,,,,,,,,,
5,Thưởng gián tiếp,,  -   ,,,,,,,,,,,
